r_l	V(vin)	V(vo)	I(RL1)	I(VIN)
2.818382931264493e-03	9.500000e+00	4.228724e-03	1.500408e+00	-1.501468e+00
2.831391995799419e-03	9.500000e+00	4.248243e-03	1.500408e+00	-1.501468e+00
2.844461107447955e-03	9.500000e+00	4.267852e-03	1.500408e+00	-1.501468e+00
2.857590543374987e-03	9.500000e+00	4.287551e-03	1.500408e+00	-1.501468e+00
2.870780582024732e-03	9.500000e+00	4.307342e-03	1.500408e+00	-1.501468e+00
2.884031503126647e-03	9.500000e+00	4.327223e-03	1.500408e+00	-1.501468e+00
2.897343587701364e-03	9.500000e+00	4.347197e-03	1.500408e+00	-1.501468e+00
2.910717118066647e-03	9.500000e+00	4.367262e-03	1.500408e+00	-1.501468e+00
2.924152377843377e-03	9.500000e+00	4.387421e-03	1.500408e+00	-1.501468e+00
2.937649651961573e-03	9.500000e+00	4.407672e-03	1.500408e+00	-1.501468e+00
2.951209226666428e-03	9.500000e+00	4.428016e-03	1.500407e+00	-1.501468e+00
2.964831389524386e-03	9.500000e+00	4.448455e-03	1.500407e+00	-1.501468e+00
2.978516429429233e-03	9.500000e+00	4.468988e-03	1.500407e+00	-1.501468e+00
2.992264636608233e-03	9.500000e+00	4.489616e-03	1.500407e+00	-1.501468e+00
3.006076302628275e-03	9.500000e+00	4.510339e-03	1.500407e+00	-1.501468e+00
3.019951720402061e-03	9.500000e+00	4.531158e-03	1.500407e+00	-1.501467e+00
3.033891184194316e-03	9.500000e+00	4.552072e-03	1.500407e+00	-1.501467e+00
3.047894989628029e-03	9.500000e+00	4.573083e-03	1.500407e+00	-1.501467e+00
3.061963433690723e-03	9.500000e+00	4.594192e-03	1.500407e+00	-1.501467e+00
3.076096814740754e-03	9.500000e+00	4.615397e-03	1.500407e+00	-1.501467e+00
3.090295432513637e-03	9.500000e+00	4.636701e-03	1.500407e+00	-1.501467e+00
3.104559588128403e-03	9.500000e+00	4.658103e-03	1.500407e+00	-1.501467e+00
3.118889584093985e-03	9.500000e+00	4.679604e-03	1.500407e+00	-1.501467e+00
3.133285724315633e-03	9.500000e+00	4.701203e-03	1.500407e+00	-1.501467e+00
3.147748314101364e-03	9.500000e+00	4.722903e-03	1.500407e+00	-1.501467e+00
3.162277660168428e-03	9.500000e+00	4.744703e-03	1.500407e+00	-1.501467e+00
3.176874070649820e-03	9.500000e+00	4.766603e-03	1.500407e+00	-1.501467e+00
3.191537855100811e-03	9.500000e+00	4.788605e-03	1.500407e+00	-1.501467e+00
