r_l	V(vo)	I(RL1)
6.637430704019257e-03	2.674414e-03	4.029291e-01
6.668067692136390e-03	2.686776e-03	4.029318e-01
6.698846094165435e-03	2.699196e-03	4.029345e-01
6.729766562843350e-03	2.711674e-03	4.029373e-01
6.760829753919991e-03	2.724209e-03	4.029400e-01
6.792036326172020e-03	2.736802e-03	4.029428e-01
6.823386941416872e-03	2.749454e-03	4.029456e-01
6.854882264526792e-03	2.762164e-03	4.029484e-01
6.886522963442939e-03	2.774933e-03	4.029512e-01
6.918309709189544e-03	2.787761e-03	4.029540e-01
6.950243175888148e-03	2.800648e-03	4.029569e-01
6.982324040771895e-03	2.813595e-03	4.029597e-01
7.014552984199895e-03	2.826602e-03	4.029626e-01
7.046930689671653e-03	2.839670e-03	4.029655e-01
7.079457843841564e-03	2.852798e-03	4.029683e-01
7.112135136533478e-03	2.865986e-03	4.029712e-01
7.144963260755321e-03	2.879236e-03	4.029742e-01
7.177942912713807e-03	2.892547e-03	4.029771e-01
7.211074791829186e-03	2.905919e-03	4.029800e-01
7.244359600750093e-03	2.919354e-03	4.029830e-01
7.277798045368434e-03	2.932851e-03	4.029860e-01
7.311390834834369e-03	2.946410e-03	4.029890e-01
7.345138681571346e-03	2.960032e-03	4.029920e-01
7.379042301291207e-03	2.973717e-03	4.029950e-01
7.413102413009374e-03	2.987465e-03	4.029980e-01
7.447319739060091e-03	3.001278e-03	4.030010e-01
7.481695005111745e-03	3.015154e-03	4.030041e-01
7.516228940182257e-03	3.029094e-03	4.030071e-01
7.550922276654544e-03	3.043099e-03	4.030102e-01
7.585775750292044e-03	3.057169e-03	4.030133e-01
7.620790100254327e-03	3.071304e-03	4.030164e-01
7.655966069112772e-03	3.085504e-03	4.030196e-01
7.691304402866307e-03	3.099771e-03	4.030227e-01
7.726805850957234e-03	3.114103e-03	4.030259e-01
7.762471166287131e-03	3.128501e-03	4.030291e-01
7.798301105232801e-03	3.142967e-03	4.030322e-01
7.834296427662334e-03	3.157499e-03	4.030354e-01
7.870457896951203e-03	3.172099e-03	4.030387e-01
7.906786279998470e-03	3.186766e-03	4.030419e-01
7.943282347243036e-03	3.201501e-03	4.030451e-01
7.979946872679987e-03	3.216305e-03	4.030484e-01
8.016780633877015e-03	3.231177e-03	4.030517e-01
8.053784411990892e-03	3.246118e-03	4.030550e-01
8.090958991784050e-03	3.261128e-03	4.030583e-01
8.128305161641220e-03	3.276207e-03	4.030616e-01
8.165823713586153e-03	3.291357e-03	4.030649e-01
8.203515443298413e-03	3.306577e-03	4.030683e-01
8.241381150130256e-03	3.321867e-03	4.030716e-01
8.279421637123576e-03	3.337228e-03	4.030750e-01
8.317637711026945e-03	3.352660e-03	4.030784e-01
8.356030182312717e-03	3.368164e-03	4.030818e-01
8.394599865194212e-03	3.383739e-03	4.030853e-01
8.433347577642995e-03	3.399387e-03	4.030887e-01
8.472274141406206e-03	3.415107e-03	4.030922e-01
8.511380382024009e-03	3.430900e-03	4.030956e-01
8.550667128847078e-03	3.446766e-03	4.030991e-01
8.590135215054204e-03	3.462706e-03	4.031026e-01
8.629785477669951e-03	3.478720e-03	4.031062e-01
8.669618757582416e-03	3.494808e-03	4.031097e-01
8.709635899561060e-03	3.510970e-03	4.031133e-01
8.749837752274614e-03	3.527207e-03	4.031169e-01
8.790225168309100e-03	3.543519e-03	4.031204e-01
8.830799004185885e-03	3.559907e-03	4.031240e-01
8.871560120379868e-03	3.576371e-03	4.031277e-01
8.912509381337716e-03	3.592912e-03	4.031313e-01
8.953647655496201e-03	3.609529e-03	4.031350e-01
8.994975815300617e-03	3.626222e-03	4.031386e-01
9.036494737223282e-03	3.642994e-03	4.031423e-01
9.078205301782126e-03	3.659843e-03	4.031461e-01
9.120108393559367e-03	3.676770e-03	4.031498e-01
9.162204901220269e-03	3.693775e-03	4.031535e-01
9.204495717531985e-03	3.710859e-03	4.031573e-01
9.246981739382501e-03	3.728023e-03	4.031610e-01
9.289663867799641e-03	3.745266e-03	4.031649e-01
9.332543007970189e-03	3.762589e-03	4.031687e-01
9.375620069259084e-03	3.779992e-03	4.031725e-01
9.418895965228696e-03	3.797476e-03	4.031764e-01
9.462371613658215e-03	3.815041e-03	4.031802e-01
9.506047936563101e-03	3.832687e-03	4.031841e-01
9.549925860214649e-03	3.850416e-03	4.031880e-01
9.594006315159621e-03	3.868226e-03	4.031919e-01
9.638290236239999e-03	3.886119e-03	4.031959e-01
9.682778562612786e-03	3.904095e-03	4.031998e-01
9.727472237769947e-03	3.922154e-03	4.032038e-01
9.772372209558405e-03	3.940297e-03	4.032078e-01
9.817479430200145e-03	3.958524e-03	4.032118e-01
9.862794856312408e-03	3.976835e-03	4.032159e-01
9.908319448927980e-03	3.995231e-03	4.032199e-01
9.954054173515577e-03	4.013713e-03	4.032240e-01
1.000000000000031e-02	4.032281e-03	4.032280e-01
1.004615790278426e-02	4.050934e-03	4.032322e-01
1.009252886076716e-02	4.069674e-03	4.032363e-01
1.013911385736711e-02	4.088501e-03	4.032404e-01
1.018591388054149e-02	4.107415e-03	4.032446e-01
1.023292992280786e-02	4.126417e-03	4.032488e-01
1.028016298126506e-02	4.145506e-03	4.032530e-01
1.032761405761430e-02	4.164685e-03	4.032572e-01
1.037528415818045e-02	4.183952e-03	4.032615e-01
1.042317429393337e-02	4.203309e-03	4.032657e-01
1.047128548050933e-02	4.222755e-03	4.032700e-01
1.051961873823256e-02	4.242292e-03	4.032743e-01
1.056817509213692e-02	4.261919e-03	4.032786e-01
1.061695557198758e-02	4.281637e-03	4.032830e-01
1.066596121230292e-02	4.301447e-03	4.032873e-01
