time	V(vo)
4.162590706502837e-03	1.082551e+01
4.162610405021618e-03	1.082617e+01
4.162637558991324e-03	1.082707e+01
4.162667178803896e-03	1.082806e+01
4.162718011118434e-03	1.082976e+01
4.162788337106702e-03	1.083210e+01
4.162928989083237e-03	1.083676e+01
4.163210293036308e-03	1.084604e+01
4.163547274166656e-03	1.085708e+01
4.163970795612119e-03	1.087081e+01
4.164454501985693e-03	1.088630e+01
4.165110516673407e-03	1.090703e+01
4.165494337121861e-03	1.091903e+01
4.165590292233975e-03	1.092201e+01
4.165782202458203e-03	1.092792e+01
4.165966814101820e-03	1.093358e+01
4.166141947063978e-03	1.093893e+01
4.166215315044189e-03	1.094116e+01
4.166218696751480e-03	1.094127e+01
4.166219904504085e-03	1.094130e+01
4.166220387605127e-03	1.094132e+01
4.166220730838942e-03	1.094133e+01
4.166220816647396e-03	1.094133e+01
4.166220988264305e-03	1.094134e+01
4.166221060690378e-03	1.094134e+01
4.166221124684343e-03	1.094134e+01
4.166221183506996e-03	1.094134e+01
4.166221240989749e-03	1.094134e+01
4.166221355955256e-03	1.094135e+01
4.166221495206188e-03	1.094135e+01
4.166221773708051e-03	1.094136e+01
4.166222330711778e-03	1.094138e+01
4.166223154049653e-03	1.094140e+01
4.166224277444781e-03	1.094144e+01
4.166226512674001e-03	1.094150e+01
4.166229166898400e-03	1.094158e+01
4.166233669856092e-03	1.094172e+01
4.166238458724550e-03	1.094187e+01
4.166245101412323e-03	1.094207e+01
4.166255972423621e-03	1.094240e+01
4.166274211181633e-03	1.094295e+01
4.166295290495501e-03	1.094359e+01
4.166311295340713e-03	1.094408e+01
4.166316866674187e-03	1.094424e+01
4.166320646819554e-03	1.094436e+01
4.166324088730735e-03	1.094446e+01
4.166327176979181e-03	1.094456e+01
4.166330413476878e-03	1.094466e+01
4.166336886472271e-03	1.094485e+01
4.166346377682934e-03	1.094514e+01
4.166363830944336e-03	1.094567e+01
4.166385045437526e-03	1.094631e+01
4.166408470600827e-03	1.094702e+01
4.166436279971198e-03	1.094786e+01
4.166475611157138e-03	1.094904e+01
4.166535836193963e-03	1.095086e+01
4.166641717398389e-03	1.095404e+01
4.166853479807240e-03	1.096037e+01
4.167198664724532e-03	1.097060e+01
4.167569130015066e-03	1.098148e+01
4.168048932374544e-03	1.099540e+01
4.168603177961436e-03	1.101129e+01
4.168702473827965e-03	1.101411e+01
4.168901065561023e-03	1.101971e+01
4.169050009360816e-03	1.102389e+01
4.169248601093874e-03	1.102943e+01
4.169412515470931e-03	1.103398e+01
4.169556466595844e-03	1.103795e+01
4.169734555841327e-03	1.104285e+01
4.169872677924312e-03	1.104663e+01
4.169945147252877e-03	1.104860e+01
