Record Length,700
Source,CH1,CH2
No.,Volt,Volt
360,17.400000,-0.200000
361,17.799999,0.000000
362,18.000000,-0.200000
363,18.200001,-0.200000
364,18.400000,-0.200000
365,18.400000,0.000000
366,18.600000,0.000000
367,18.799999,0.000000
368,18.799999,0.000000
369,18.799999,0.000000
370,19.000000,0.000000
371,19.000000,-0.200000
372,19.000000,-0.200000
373,19.000000,-0.200000
374,19.000000,-0.200000
375,19.000000,0.000000
376,19.000000,0.000000
377,19.000000,0.000000
378,19.000000,0.000000
379,19.000000,-0.200000
380,19.000000,0.000000
381,19.000000,-0.200000
382,19.000000,0.000000
383,19.200001,-0.200000
384,19.000000,-0.200000
385,19.000000,-0.200000
386,19.000000,-0.200000
387,19.200001,-0.200000
388,19.200001,0.000000
389,19.200001,0.000000
390,19.000000,-0.200000
391,19.200001,-0.200000
392,19.200001,0.000000
393,19.200001,-0.200000
394,19.200001,0.000000
395,19.200001,-0.200000
396,19.200001,-0.200000
397,19.000000,0.000000
398,19.200001,-0.200000
399,19.200001,0.000000
400,19.200001,0.000000
401,19.000000,-0.200000
402,19.000000,-0.200000
403,19.200001,0.000000
404,19.200001,-0.200000
405,19.200001,-0.200000
406,19.200001,-0.200000
407,19.200001,-0.200000
408,19.200001,0.000000
409,19.000000,0.000000
410,19.200001,0.000000
411,19.200001,0.000000
412,19.200001,0.000000
413,19.200001,-0.200000
414,19.200001,-0.200000
415,19.200001,-0.200000
416,19.200001,-0.200000
417,19.000000,-0.200000
418,19.200001,-0.200000
419,19.000000,-0.200000
420,19.200001,0.000000
421,19.000000,0.000000
422,19.000000,0.000000
423,19.000000,0.000000
424,19.000000,0.000000
425,19.000000,0.000000
426,19.000000,-0.200000
427,19.200001,0.000000
428,19.200001,-0.200000
429,19.200001,0.000000
430,19.200001,0.000000
431,19.200001,-0.200000
432,19.000000,-0.200000
433,19.200001,0.000000
434,19.000000,0.000000
435,19.200001,-0.200000
436,19.200001,-0.200000
437,19.200001,-0.200000
438,19.000000,-0.200000
439,19.000000,-0.200000
440,19.000000,-0.200000
441,19.200001,-0.200000
442,19.000000,0.000000
443,19.000000,0.000000
444,19.200001,0.000000
445,19.000000,-0.200000
446,19.000000,0.000000
447,19.200001,0.000000
448,19.000000,0.000000
449,19.200001,0.000000
450,19.200001,-0.200000
451,19.200001,0.000000
452,19.200001,0.000000
453,19.000000,0.000000
454,19.200001,-0.200000
455,19.000000,0.000000
456,19.200001,-0.200000
457,19.200001,0.000000
458,19.200001,-0.200000
459,19.200001,-0.200000
460,19.000000,-0.200000
461,19.200001,0.000000
462,19.200001,-0.200000
463,19.200001,-0.200000
464,19.200001,0.000000
465,19.000000,0.000000
466,19.000000,-0.200000
467,19.000000,-0.200000
468,19.000000,-0.200000
469,19.000000,-0.200000
470,19.200001,-0.200000
471,19.000000,0.000000
472,19.000000,-0.200000
473,19.000000,0.000000
474,19.000000,-0.200000
475,19.000000,0.000000
476,19.000000,0.000000
477,19.200001,-0.200000
478,19.000000,-0.200000
479,19.000000,-0.200000
480,19.200001,-0.200000
481,19.200001,-0.200000
482,19.200001,0.000000
483,19.000000,0.000000
484,19.200001,0.000000
485,19.000000,-0.200000
486,19.000000,0.000000
487,19.000000,0.000000
488,19.000000,-0.200000
489,19.000000,-0.200000
490,19.000000,-0.400000
491,18.400000,-0.200000
492,16.799999,-0.200000
493,15.200000,0.000000
494,13.600000,0.000000
495,11.000000,-0.200000
496,7.400000,-0.200000
497,1.800000,-0.400000
498,-1.400000,-0.600000
499,-3.400000,-0.600000
500,-4.200000,-0.600000
501,-4.600000,-0.400000
502,-4.600000,-0.400000
503,-4.600000,-0.200000
504,-4.600000,1.200000
505,-4.600000,2.000000
506,-4.600000,3.400000
507,-4.200000,4.400000
508,-4.400000,5.200000
509,-4.200000,6.000000
510,-4.400000,6.600000
511,-4.200000,7.000000
512,-4.200000,7.400000
513,-4.200000,7.800000
514,-4.200000,7.800000
515,-4.200000,4.800000
516,-4.200000,3.200000
517,-4.600000,2.000000
518,-4.600000,1.000000
519,-4.600000,0.800000
520,-4.600000,0.400000
521,-4.600000,0.200000
522,-4.600000,0.000000
523,-4.600000,0.000000
524,-4.600000,0.000000
525,-4.600000,-0.200000
526,-4.600000,-0.200000
527,-4.600000,-0.200000
528,-4.600000,-0.200000
529,-4.600000,0.000000
530,-3.000000,-0.200000
531,-0.400000,-0.200000
532,2.400000,0.200000
533,9.800000,0.200000
534,12.400000,0.200000
535,14.200000,0.200000
536,15.600000,0.000000
537,16.799999,0.000000
538,17.200001,-0.200000
539,17.600000,-0.200000
540,17.799999,0.000000
541,18.000000,-0.200000
542,18.200001,0.000000
543,18.400000,0.000000
544,18.400000,0.000000
545,18.799999,0.000000
546,18.799999,0.000000
547,18.799999,-0.200000
548,19.000000,-0.200000
549,19.000000,0.000000
550,18.799999,-0.200000
551,19.000000,-0.200000
552,19.000000,-0.200000
553,19.000000,-0.200000
554,19.000000,-0.200000
555,19.000000,0.000000
556,18.799999,0.000000
557,19.000000,0.000000
558,19.000000,0.000000
559,19.000000,-0.200000
560,19.200001,-0.200000
561,19.000000,-0.200000
562,19.000000,-0.200000
563,19.000000,-0.200000
564,19.000000,-0.200000
565,19.000000,-0.200000
566,19.000000,-0.200000
567,19.000000,-0.200000
568,19.000000,0.000000
569,19.000000,0.000000
570,19.200001,0.000000
571,19.200001,-0.200000
572,19.000000,-0.200000
573,19.000000,0.000000
574,19.000000,-0.200000
575,19.200001,-0.200000
576,19.200001,-0.200000
577,19.200001,-0.200000
578,19.200001,0.000000
579,19.200001,-0.200000
580,19.200001,0.000000
581,19.200001,-0.200000
582,19.200001,0.000000
583,19.200001,0.000000
584,19.200001,0.000000
585,19.200001,0.000000
586,19.200001,0.000000
587,19.200001,0.000000
588,19.200001,0.000000
589,19.200001,-0.200000
590,19.200001,0.000000
591,19.000000,-0.200000
592,19.200001,-0.200000
593,19.200001,0.000000
594,19.200001,-0.200000
595,19.200001,-0.200000
596,19.000000,0.000000
597,19.200001,0.000000
598,19.000000,0.000000
599,19.000000,0.000000
600,19.000000,0.000000
601,19.200001,0.000000
602,19.200001,-0.200000
603,19.200001,-0.200000
604,19.200001,-0.200000
605,19.200001,-0.200000
606,19.200001,-0.200000
607,19.200001,-0.200000
608,19.200001,-0.200000
609,19.200001,-0.200000
610,19.200001,-0.200000
611,19.000000,-0.200000
612,19.200001,0.000000
613,19.200001,0.000000
614,19.000000,0.000000
615,19.200001,-0.200000
616,19.000000,0.000000
617,19.000000,0.000000
618,19.000000,0.000000
619,19.200001,-0.200000
620,19.200001,0.000000
621,19.000000,0.000000
622,19.000000,0.000000
623,19.000000,0.000000
624,19.000000,0.000000
625,19.000000,0.000000
626,19.000000,-0.200000
627,19.000000,-0.200000
628,19.200001,-0.200000
629,19.000000,-0.200000
630,19.200001,-0.200000
631,19.000000,0.000000
632,19.200001,-0.200000
633,19.000000,-0.200000
634,19.200001,0.000000
635,19.000000,-0.200000
636,19.000000,0.000000
637,19.200001,0.000000
638,19.000000,-0.200000
639,19.000000,-0.200000
640,19.000000,-0.200000
641,19.000000,0.000000
642,19.000000,-0.200000
643,19.200001,-0.200000
644,19.000000,-0.200000
645,19.000000,-0.200000
646,19.000000,-0.200000
647,19.000000,-0.200000
648,19.000000,0.000000
649,19.000000,-0.200000
650,19.000000,0.000000
651,19.000000,0.000000
652,19.000000,0.000000
653,19.000000,0.000000
654,19.000000,0.000000
655,19.000000,-0.200000
656,19.200001,-0.200000
657,19.000000,-0.200000
658,19.200001,-0.200000
659,19.000000,0.000000
660,19.000000,0.000000
661,19.000000,0.000000
662,19.000000,0.000000
663,19.000000,-0.200000
664,19.000000,-0.200000
665,19.000000,-0.200000
666,19.000000,-0.200000
667,19.000000,-0.200000
668,19.000000,-0.200000
669,19.000000,0.000000
670,17.799999,0.000000
671,16.200001,0.000000
672,15.000000,0.000000
673,13.000000,0.000000
674,10.400000,-0.200000
675,6.200000,-0.400000
676,0.800000,-0.600000
677,-2.000000,-0.600000
678,-3.800000,-0.600000
679,-4.400000,-0.600000
680,-4.600000,-0.200000
681,-4.800000,-0.400000
682,-4.800000,-0.200000
683,-4.600000,1.400000
684,-4.800000,2.400000
685,-4.600000,3.600000
686,-4.200000,4.600000
687,-4.200000,5.600000
688,-4.200000,6.000000
689,-4.200000,6.600000
690,-4.200000,7.200000
691,-4.200000,7.600000
692,-4.200000,7.800000
693,-4.200000,8.000000
694,-4.200000,4.600000
695,-4.400000,3.200000
696,-4.400000,1.800000
697,-4.600000,1.000000
698,-4.600000,0.600000
699,-4.600000,0.200000
700,-4.600000,0.200000
